,principle_1,principle_2
Apps,0.27589139636032955,0.3180420397617559
Accept,0.24898619353605228,0.3428626057063569
Enroll,0.21129277792011203,0.38023909351569024
Top10perc,0.33552953333784913,-0.0991019364292795
Top25perc,0.3299539383069296,-0.058077922211850874
F.Undergrad,0.18547237498729058,0.4001344247268074
P.Undergrad,-0.044544294109665976,0.3465551116630436
Outstate,0.28063866081334843,-0.25498771997369224
Room.Board,0.2368144816880786,-0.13324113991081604
Books,0.06769747617827533,0.05530873583480869
Personal,-0.03680659058258508,0.21157155648114162
PhD,0.31823304357827364,0.06144258982899767
Terminal,0.3158696538828068,0.047419511479155546
S.F.Ratio,-0.15087205036629228,0.28352481889469205
perc.alumni,0.18843171335721243,-0.26466739117145544
Expend,0.3162868079490616,-0.18016764639475208
Grad.Rate,0.24347965062921353,-0.1542648116631015
